,IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,n_points,transformation_model,transformation_model_param_y_weight,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max,transformation_model_param_x_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_symmetric_regression,transformation_model_param_slope,transformation_model_param_intercept
0,,HMDB:HMDB0059597,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
1,,HMDB:HMDB0001362,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
2,,HMDB:HMDB0037238,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
3,,HMDB:HMDB0005949,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
4,,HMDB:HMDB0002387,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
5,,HMDB:HMDB0002386,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
6,,HMDB:HMDB0002714,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
7,,HMDB:HMDB0001039,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
8,,HMDB:HMDB0000051,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
9,,HMDB:HMDB0002111,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
10,,HMDB:HMDB0041827,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
11,,HMDB:HMDB0000662,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
12,,HMDB:HMDB0000588,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
13,,HMDB:HMDB0000547,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
14,,HMDB:HMDB0001247,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
15,,HMDB:HMDB0002084,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
