,ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
0,HMDB:HMDB0059597,,HMDB:HMDB0059597,HMDB:HMDB0059597,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
1,HMDB:HMDB0001362,,HMDB:HMDB0001362,HMDB:HMDB0001362,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
2,HMDB:HMDB0037238,,HMDB:HMDB0037238,HMDB:HMDB0037238,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
3,HMDB:HMDB0005949,,HMDB:HMDB0005949,HMDB:HMDB0005949,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
4,HMDB:HMDB0002387,,HMDB:HMDB0002387,HMDB:HMDB0002387,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
5,HMDB:HMDB0002386,,HMDB:HMDB0002386,HMDB:HMDB0002386,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
6,HMDB:HMDB0002714,,HMDB:HMDB0002714,HMDB:HMDB0002714,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
7,HMDB:HMDB0001039,,HMDB:HMDB0001039,HMDB:HMDB0001039,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
8,HMDB:HMDB0000051,,HMDB:HMDB0000051,HMDB:HMDB0000051,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
9,HMDB:HMDB0002111,,HMDB:HMDB0002111,HMDB:HMDB0002111,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
10,HMDB:HMDB0041827,,HMDB:HMDB0041827,HMDB:HMDB0041827,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
11,HMDB:HMDB0000662,,HMDB:HMDB0000662,HMDB:HMDB0000662,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
12,HMDB:HMDB0000588,,HMDB:HMDB0000588,HMDB:HMDB0000588,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
13,HMDB:HMDB0000547,,HMDB:HMDB0000547,HMDB:HMDB0000547,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
14,HMDB:HMDB0001247,,HMDB:HMDB0001247,HMDB:HMDB0001247,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
15,HMDB:HMDB0002084,,HMDB:HMDB0002084,HMDB:HMDB0002084,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
16,HMDB:HMDB0002175,,HMDB:HMDB0002175,HMDB:HMDB0002175,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
17,HMDB:HMDB0001361,,HMDB:HMDB0001361,HMDB:HMDB0001361,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
18,HMDB:HMDB0001371,,HMDB:HMDB0001371,HMDB:HMDB0001371,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
19,HMDB:HMDB0029594,,HMDB:HMDB0029594,HMDB:HMDB0029594,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
20,HMDB:HMDB0003378,,HMDB:HMDB0003378,HMDB:HMDB0003378,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
21,HMDB:HMDB0001426,,HMDB:HMDB0001426,HMDB:HMDB0001426,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
22,HMDB:HMDB0001315,,HMDB:HMDB0001315,HMDB:HMDB0001315,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
23,HMDB:HMDB0000164,,HMDB:HMDB0000164,HMDB:HMDB0000164,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
24,HMDB:HMDB0000598,,HMDB:HMDB0000598,HMDB:HMDB0000598,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
25,HMDB:HMDB0001377,,HMDB:HMDB0001377,HMDB:HMDB0001377,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
26,HMDB:HMDB0001875,,HMDB:HMDB0001875,HMDB:HMDB0001875,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
27,HMDB:HMDB0012973,,HMDB:HMDB0012973,HMDB:HMDB0012973,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
28,HMDB:HMDB0003338,,HMDB:HMDB0003338,HMDB:HMDB0003338,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
29,HMDB:HMDB0003276,,HMDB:HMDB0003276,HMDB:HMDB0003276,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
30,HMDB:HMDB0034790,,HMDB:HMDB0034790,HMDB:HMDB0034790,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
31,HMDB:HMDB0003125,,HMDB:HMDB0003125,HMDB:HMDB0003125,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
