component_group_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_mz_error_ppm_l,metaValue_mz_error_ppm_u
HMDB:HMDB0059597,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001362,1.00E+03,1.00E+24,0,1
HMDB:HMDB0037238,1.00E+03,1.00E+24,0,1
HMDB:HMDB0005949,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002387,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002386,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002714,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001039,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000051,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002111,1.00E+03,1.00E+24,0,1
HMDB:HMDB0041827,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000662,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000588,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000547,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001247,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002084,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002175,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001361,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001371,1.00E+03,1.00E+24,0,1
HMDB:HMDB0029594,1.00E+03,1.00E+24,0,1
HMDB:HMDB0003378,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001426,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001315,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000164,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000598,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001377,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001875,1.00E+03,1.00E+24,0,1
HMDB:HMDB0012973,1.00E+03,1.00E+24,0,1
HMDB:HMDB0003338,1.00E+03,1.00E+24,0,1
HMDB:HMDB0003276,1.00E+03,1.00E+24,0,1
HMDB:HMDB0034790,1.00E+03,1.00E+24,0,1
HMDB:HMDB0003125,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000492,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002306,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000586,1.00E+03,1.00E+24,0,1
HMDB:HMDB0037240,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000464,1.00E+03,1.00E+24,0,1
HMDB:HMDB0015458,1.00E+03,1.00E+24,0,1
HMDB:HMDB0061869,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002078,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001967,1.00E+03,1.00E+24,0,1
HMDB:HMDB0035807,1.00E+03,1.00E+24,0,1
HMDB:HMDB0034769,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000990,1.00E+03,1.00E+24,0,1
HMDB:HMDB0031630,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001536,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000087,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000142,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000108,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002786,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001966,1.00E+03,1.00E+24,0,1
HMDB:HMDB0035409,1.00E+03,1.00E+24,0,1
HMDB:HMDB0003227,1.00E+03,1.00E+24,0,1
HMDB:HMDB0002503,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000599,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001050,1.00E+03,1.00E+24,0,1
HMDB:HMDB0006803,1.00E+03,1.00E+24,0,1
HMDB:HMDB0041792,1.00E+03,1.00E+24,0,1
HMDB:HMDB0001333,1.00E+03,1.00E+24,0,1
HMDB:HMDB0061870,1.00E+03,1.00E+24,0,1
HMDB:HMDB0000692,1.00E+03,1.00E+24,0,1
