sample_name,sample_type,sample_group_name,sequence_segment_name,original_filename,batch_name,rack_number,plate_number,pos_number,inj_number,dilution_factor,inj_volume,inj_volume_units,operator_name,acq_method_name,proc_method_name,acquisition_date_and_time
20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_NEG_1,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_NEG_1,BatchName,,,,1,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_NEG_2,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_NEG_2,BatchName,,,,2,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_NEG_3,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_NEG_3,BatchName,,,,3,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_POS_1,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_POS_1,BatchName,,,,4,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_POS_2,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_POS_2,BatchName,,,,5,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_POS_3,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_LowMass_POS_3,BatchName,,,,6,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_NEG_1,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_NEG_1,BatchName,,,,7,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_NEG_2,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_NEG_2,BatchName,,,,8,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_NEG_3,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_NEG_3,BatchName,,,,9,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_POS_1,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_POS_1,BatchName,,,,10,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_POS_2,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_POS_2,BatchName,,,,11,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_POS_3,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_HighMass_POS_3,BatchName,,,,12,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_NEG_1,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_NEG_1,BatchName,,,,13,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_NEG_2,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_NEG_2,BatchName,,,,14,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_NEG_3,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_NEG_3,BatchName,,,,15,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_POS_1,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_POS_1,BatchName,,,,16,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_POS_2,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_POS_2,BatchName,,,,17,,2,uL,,MethodName,,
20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_POS_3,Unknown,CM,segment1,20200618_QCserum_NewSourceSettings_80_20MeOH_water_100to1000Da_POS_3,BatchName,,,,18,,2,uL,,MethodName,,
