component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,retention_time_l,retention_time_u
Lactate_219,100,1.00E+12,0.9,1.00E+06,330,450
Lactate_220,100,1.00E+12,0.9,1.00E+06,330,450
Lactate_221,100,1.00E+12,0.9,1.00E+06,330,450
Lactate_222,100,1.00E+12,0.9,1.00E+06,330,450
Lactate_223,100,1.00E+12,0.9,1.00E+06,330,450
Pyruvate_174,100,1.00E+12,0.9,1.00E+06,403.2,523.2
Pyruvate_175,100,1.00E+12,0.9,1.00E+06,403.2,523.2
Pyruvate_176,100,1.00E+12,0.9,1.00E+06,403.2,523.2
Pyruvate_177,100,1.00E+12,0.9,1.00E+06,403.2,523.2
Pyruvate_178,100,1.00E+12,0.9,1.00E+06,403.2,523.2
PEP_370,100,1.00E+12,0.9,1.00E+06,415.8,535.8
PEP_371,100,1.00E+12,0.9,1.00E+06,415.8,535.8
PEP_372,100,1.00E+12,0.9,1.00E+06,415.8,535.8
PEP_373,100,1.00E+12,0.9,1.00E+06,415.8,535.8
Succinate_247,100,1.00E+12,0.9,1.00E+06,520.8,640.8
Succinate_248,100,1.00E+12,0.9,1.00E+06,520.8,640.8
Succinate_249,100,1.00E+12,0.9,1.00E+06,520.8,640.8
Succinate_250,100,1.00E+12,0.9,1.00E+06,520.8,640.8
Succinate_251,100,1.00E+12,0.9,1.00E+06,520.8,640.8
Succinate_252,100,1.00E+12,0.9,1.00E+06,520.8,640.8
Fumarate_245,100,1.00E+12,0.9,1.00E+06,541.2,661.2
Fumarate_246,100,1.00E+12,0.9,1.00E+06,541.2,661.2
Fumarate_247,100,1.00E+12,0.9,1.00E+06,541.2,661.2
Fumarate_248,100,1.00E+12,0.9,1.00E+06,541.2,661.2
Fumarate_249,100,1.00E+12,0.9,1.00E+06,541.2,661.2
Fumarate_250,100,1.00E+12,0.9,1.00E+06,541.2,661.2
Malate_245,100,1.00E+12,0.9,1.00E+06,610.8,730.8
Malate_246,100,1.00E+12,0.9,1.00E+06,610.8,730.8
Malate_247,100,1.00E+12,0.9,1.00E+06,610.8,730.8
Malate_248,100,1.00E+12,0.9,1.00E+06,610.8,730.8
Malate_249,100,1.00E+12,0.9,1.00E+06,610.8,730.8
Malate_250,100,1.00E+12,0.9,1.00E+06,610.8,730.8
Erythritol_307,100,1.00E+12,0.9,1.00E+06,612,732
Erythritol_308,100,1.00E+12,0.9,1.00E+06,612,732
Erythritol_309,100,1.00E+12,0.9,1.00E+06,612,732
Erythritol_310,100,1.00E+12,0.9,1.00E+06,612,732
Erythritol_311,100,1.00E+12,0.9,1.00E+06,612,732
aKG_304,100,1.00E+12,0.9,1.00E+06,660,780
aKG_305,100,1.00E+12,0.9,1.00E+06,660,780
aKG_306,100,1.00E+12,0.9,1.00E+06,660,780
aKG_307,100,1.00E+12,0.9,1.00E+06,660,780
aKG_308,100,1.00E+12,0.9,1.00E+06,660,780
aKG_309,100,1.00E+12,0.9,1.00E+06,660,780
aKG_310,100,1.00E+12,0.9,1.00E+06,660,780
DHAP_400,100,1.00E+12,0.9,1.00E+06,732.6,852.6
DHAP_401,100,1.00E+12,0.9,1.00E+06,732.6,852.6
DHAP_402,100,1.00E+12,0.9,1.00E+06,732.6,852.6
DHAP_403,100,1.00E+12,0.9,1.00E+06,732.6,852.6
DHAP_404,100,1.00E+12,0.9,1.00E+06,732.6,852.6
GAP_328,100,1.00E+12,0.9,1.00E+06,734.4,854.4
GAP_329,100,1.00E+12,0.9,1.00E+06,734.4,854.4
GAP_330,100,1.00E+12,0.9,1.00E+06,734.4,854.4
GAP_331,100,1.00E+12,0.9,1.00E+06,734.4,854.4
GAP_332,100,1.00E+12,0.9,1.00E+06,734.4,854.4
GAP_400,100,1.00E+12,0.9,1.00E+06,734.4,854.4
