component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u,metaValue_sn_score_l,metaValue_sn_score_u
Lactate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Pyruvate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
PEP,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Succinate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Fumarate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Malate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Erythritol,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
aKG,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
DHAP,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
GAP,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
G3P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
3PG,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
Citrate,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
E4P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
R5P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
F6P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
G6P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
S7P,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
35cgmp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dgmp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
dtmp,0,100,1,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+12,100,1.00E+12,0,1.00E+06,10,1.00E+06
