IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,actual_concentration,n_points,transformation_model,transformation_model_param_slope,transformation_model_param_intercept,transformation_model_param_x_weight,transformation_model_param_y_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max
,Lactate_219,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Lactate_220,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Lactate_221,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Lactate_222,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Lactate_223,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Pyruvate_174,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Pyruvate_175,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Pyruvate_176,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Pyruvate_177,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Pyruvate_178,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,PEP_370,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,PEP_371,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,PEP_372,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,PEP_373,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Succinate_247,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Succinate_248,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Succinate_249,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Succinate_250,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Succinate_251,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Succinate_252,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Fumarate_245,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Fumarate_246,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Fumarate_247,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Fumarate_248,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Fumarate_249,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Fumarate_250,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Malate_245,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Malate_246,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Malate_247,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Malate_248,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Malate_249,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Malate_250,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Erythritol_307,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Erythritol_308,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Erythritol_309,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Erythritol_310,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Erythritol_311,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,aKG_304,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,aKG_305,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,aKG_306,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,aKG_307,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,aKG_308,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,aKG_309,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,aKG_310,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,DHAP_400,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,DHAP_401,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,DHAP_402,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,DHAP_403,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,DHAP_404,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_328,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_329,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_330,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_331,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_332,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_400,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_401,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_402,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_403,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,GAP_404,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G3P_445,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G3P_446,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
