ProteinName,FullPeptideName,SumFormula,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
Lactate,,C3H6O3,Lactate,Lactate_219,390,,219,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Lactate,,C3H6O3,Lactate,Lactate_220,390,,220,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Lactate,,C3H6O3,Lactate,Lactate_221,390,,221,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Lactate,,C3H6O3,Lactate,Lactate_222,390,,222,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Lactate,,C3H6O3,Lactate,Lactate_223,390,,223,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Pyruvate,,C3H4O3,Pyruvate,Pyruvate_174,463.2,,174,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Pyruvate,,C3H4O3,Pyruvate,Pyruvate_175,463.2,,175,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Pyruvate,,C3H4O3,Pyruvate,Pyruvate_176,463.2,,176,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Pyruvate,,C3H4O3,Pyruvate,Pyruvate_177,463.2,,177,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Pyruvate,,C3H4O3,Pyruvate,Pyruvate_178,463.2,,178,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
PEP,,C3H5O6P,PEP,PEP_370,475.8,,370,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
PEP,,C3H5O6P,PEP,PEP_371,475.8,,371,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
PEP,,C3H5O6P,PEP,PEP_372,475.8,,372,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
PEP,,C3H5O6P,PEP,PEP_373,475.8,,373,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Succinate,,C4H6O4,Succinate,Succinate_247,580.8,,247,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Succinate,,C4H6O4,Succinate,Succinate_248,580.8,,248,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Succinate,,C4H6O4,Succinate,Succinate_249,580.8,,249,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Succinate,,C4H6O4,Succinate,Succinate_250,580.8,,250,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Succinate,,C4H6O4,Succinate,Succinate_251,580.8,,251,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Succinate,,C4H6O4,Succinate,Succinate_252,580.8,,252,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Fumarate,,C4H4O4,Fumarate,Fumarate_245,601.2,,245,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Fumarate,,C4H4O4,Fumarate,Fumarate_246,601.2,,246,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Fumarate,,C4H4O4,Fumarate,Fumarate_247,601.2,,247,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Fumarate,,C4H4O4,Fumarate,Fumarate_248,601.2,,248,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Fumarate,,C4H4O4,Fumarate,Fumarate_249,601.2,,249,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Fumarate,,C4H4O4,Fumarate,Fumarate_250,601.2,,250,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Malate,,C4H4O5-2,Malate,Malate_245,670.8,,245,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Malate,,C4H4O5-2,Malate,Malate_246,670.8,,246,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Malate,,C4H4O5-2,Malate,Malate_247,670.8,,247,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Malate,,C4H4O5-2,Malate,Malate_248,670.8,,248,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Malate,,C4H4O5-2,Malate,Malate_249,670.8,,249,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Malate,,C4H4O5-2,Malate,Malate_250,670.8,,250,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Erythritol,,C4H10O4,Erythritol,Erythritol_307,672,,307,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Erythritol,,C4H10O4,Erythritol,Erythritol_308,672,,308,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Erythritol,,C4H10O4,Erythritol,Erythritol_309,672,,309,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Erythritol,,C4H10O4,Erythritol,Erythritol_310,672,,310,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Erythritol,,C4H10O4,Erythritol,Erythritol_311,672,,311,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
aKG,,C5H6O5,aKG,aKG_304,720,,304,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
aKG,,C5H6O5,aKG,aKG_305,720,,305,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
aKG,,C5H6O5,aKG,aKG_306,720,,306,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
aKG,,C5H6O5,aKG,aKG_307,720,,307,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
aKG,,C5H6O5,aKG,aKG_308,720,,308,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
