component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Serotonin,0,10,0,10,1,10,1,10,0,10,1,10,,,,,1.37,2.37,0,1.00E+15,-500,1.00E+12
5-HTP,0,10,0,10,1,10,1,10,0,10,1,10,,,,,1.54,2.54,0,1.00E+15,-500,1.00E+12
Tryptophan,0,10,0,10,1,10,1,10,0,10,1,10,,,,,2.93,3.93,0,1.00E+15,-500,1.00E+12
Tryptamine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,3.3,4.3,0,1.00E+15,-500,1.00E+12
Acetylserotonin,0,10,0,10,1,10,1,10,0,10,1,10,,,,,4.57,5.57,0,1.00E+15,-500,1.00E+12
Riboflavin,0,10,0,10,1,10,1,10,0,10,1,10,,,,,4.78,5.78,0,1.00E+15,-500,1.00E+12
5-hydroxyindole,0,10,0,10,1,10,1,10,0,10,1,10,,,,,5.15,6.15,0,1.00E+15,-500,1.00E+12
Antranilicacid,0,10,0,10,1,10,1,10,0,10,1,10,,,,,5.81,6.81,0,1.00E+15,-500,1.00E+12
Melatonin,0,10,0,10,1,10,1,10,0,10,1,10,,,,,6.46,7.46,0,1.00E+15,-500,1.00E+12
Acetyltryptamine,0,10,0,10,1,10,1,10,0,10,1,10,,,,,6.8,7.8,0,1.00E+15,-500,1.00E+12
Indole,0,10,0,10,1,10,1,10,0,10,1,10,,,,,8.53,9.53,0,1.00E+15,-500,1.00E+12
