File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/539.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	1000 ug/ml HIGH
Injection Number	94
Position	RB4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:28:33 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.921364
Signal Max.	368.979905
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.001995
0.006667	0.200	-0.014332
0.010000	0.200	-0.047821
0.013333	0.200	-0.100227
0.016667	0.200	-0.151290
0.020000	0.200	-0.178761
0.023333	0.200	-0.174373
0.026667	0.200	-0.145213
0.030000	0.200	-0.106364
0.033333	0.200	-0.072100
0.036667	0.200	-0.050043
0.040000	0.200	-0.041090
0.043333	0.200	-0.042653
0.046667	0.200	-0.051096
0.050000	0.200	-0.062958
0.053333	0.200	-0.075950
0.056667	0.200	-0.089290
0.060000	0.200	-0.103025
0.063333	0.200	-0.117201
0.066667	0.200	-0.131663
0.070000	0.200	-0.146220
0.073333	0.200	-0.160731
0.076667	0.200	-0.174864
0.080000	0.200	-0.187883
0.083333	0.200	-0.199154
0.086667	0.200	-0.208653
0.090000	0.200	-0.216642
0.093333	0.200	-0.223392
0.096667	0.200	-0.229549
0.100000	0.200	-0.236185
0.103333	0.200	-0.244035
0.106667	0.200	-0.252791
0.110000	0.200	-0.261369
0.113333	0.200	-0.268922
0.116667	0.200	-0.275523
0.120000	0.200	-0.282126
0.123333	0.200	-0.290017
0.126667	0.200	-0.299999
0.130000	0.200	-0.311706
0.133333	0.200	-0.323578
0.136667	0.200	-0.333913
0.140000	0.200	-0.342173
0.143333	0.200	-0.348971
0.146667	0.200	-0.355152
0.150000	0.200	-0.361310
0.153333	0.200	-0.367799
0.156667	0.200	-0.374808
0.160000	0.200	-0.382352
0.163333	0.200	-0.390357
0.166667	0.200	-0.398747
0.170000	0.200	-0.407271
0.173333	0.200	-0.415636
0.176667	0.200	-0.424005
0.180000	0.200	-0.432507
0.183333	0.200	-0.440344
0.186667	0.200	-0.446376
0.190000	0.200	-0.450181
0.193333	0.200	-0.451937
0.196667	0.200	-0.452137
0.200000	0.200	-0.451841
0.203333	0.200	-0.452648
0.206667	0.200	-0.456055
0.210000	0.200	-0.462603
0.213333	0.200	-0.471410
0.216667	0.200	-0.480578
0.220000	0.200	-0.488186
0.223333	0.200	-0.493413
0.226667	0.200	-0.497085
0.230000	0.200	-0.500673
0.233333	0.200	-0.504744
0.236667	0.200	-0.508947
0.240000	0.200	-0.513051
0.243333	0.200	-0.517277
0.246667	0.200	-0.521813
0.250000	0.200	-0.526400
0.253333	0.200	-0.530592
0.256667	0.200	-0.534490
0.260000	0.200	-0.538759
0.263333	0.200	-0.543656
0.266667	0.200	-0.548706
0.270000	0.200	-0.553541
0.273333	0.200	-0.558243
0.276667	0.200	-0.562732
0.280000	0.200	-0.566620
0.283333	0.200	-0.569911
0.286667	0.200	-0.573282
0.290000	0.200	-0.577382
0.293333	0.200	-0.582160
0.296667	0.200	-0.586996
0.300000	0.200	-0.591336
0.303333	0.200	-0.595164
0.306667	0.200	-0.598695
0.310000	0.200	-0.601864
0.313333	0.200	-0.604542
0.316667	0.200	-0.606934
0.320000	0.200	-0.609569
0.323333	0.200	-0.613181
0.326667	0.200	-0.618174
0.330000	0.200	-0.623928
0.333333	0.200	-0.629200
0.336667	0.200	-0.633290
0.340000	0.200	-0.636457
0.343333	0.200	-0.639534
0.346667	0.200	-0.643497
0.350000	0.200	-0.648935
0.353333	0.200	-0.655544
0.356667	0.200	-0.662420
0.360000	0.200	-0.668691
0.363333	0.200	-0.673659
0.366667	0.200	-0.676908
0.370000	0.200	-0.678596
0.373333	0.200	-0.679346
0.376667	0.200	-0.679663
0.380000	0.200	-0.679774
0.383333	0.200	-0.680131
0.386667	0.200	-0.681168
0.390000	0.200	-0.682587
0.393333	0.200	-0.683778
0.396667	0.200	-0.684683
0.400000	0.200	-0.685890
0.403333	0.200	-0.688038
0.406667	0.200	-0.691123
0.410000	0.200	-0.694549
0.413333	0.200	-0.697616
0.416667	0.200	-0.699741
0.420000	0.200	-0.700838
0.423333	0.200	-0.701667
0.426667	0.200	-0.703297
0.430000	0.200	-0.706289
0.433333	0.200	-0.710593
0.436667	0.200	-0.715593
0.440000	0.200	-0.720391
0.443333	0.200	-0.724585
0.446667	0.200	-0.728316
0.450000	0.200	-0.731451
0.453333	0.200	-0.733617
0.456667	0.200	-0.734947
0.460000	0.200	-0.735945
0.463333	0.200	-0.736878
0.466667	0.200	-0.737760
0.470000	0.200	-0.738643
0.473333	0.200	-0.739834
0.476667	0.200	-0.741802
0.480000	0.200	-0.744599
0.483333	0.200	-0.747478
0.486667	0.200	-0.749453
0.490000	0.200	-0.750225
0.493333	0.200	-0.750433
0.496667	0.200	-0.751068
0.500000	0.200	-0.752789
0.503333	0.200	-0.755649
0.506667	0.200	-0.759198
0.510000	0.200	-0.762903
0.513333	0.200	-0.766465
0.516667	0.200	-0.769574
0.520000	0.200	-0.771703
0.523333	0.200	-0.772600
0.526667	0.200	-0.772685
0.530000	0.200	-0.772640
0.533333	0.200	-0.772659
0.536667	0.200	-0.772351
0.540000	0.200	-0.771677
0.543333	0.200	-0.771504
0.546667	0.200	-0.772653
0.550000	0.200	-0.774846
0.553333	0.200	-0.777172
0.556667	0.200	-0.779376
0.560000	0.200	-0.782105
0.563333	0.200	-0.786055
0.566667	0.200	-0.791308
0.570000	0.200	-0.797185
0.573333	0.200	-0.802545
0.576667	0.200	-0.806561
0.580000	0.200	-0.809273
0.583333	0.200	-0.810981
0.586667	0.200	-0.811580
0.590000	0.200	-0.810942
0.593333	0.200	-0.809366
0.596667	0.200	-0.807486
0.600000	0.200	-0.806030
0.603333	0.200	-0.805432
0.606667	0.200	-0.805661
0.610000	0.200	-0.806549
0.613333	0.200	-0.808077
0.616667	0.200	-0.810069
0.620000	0.200	-0.811860
0.623333	0.200	-0.812785
0.626667	0.200	-0.812809
0.630000	0.200	-0.812377
0.633333	0.200	-0.812052
0.636667	0.200	-0.812276
0.640000	0.200	-0.813090
0.643333	0.200	-0.814162
0.646667	0.200	-0.815243
0.650000	0.200	-0.816473
0.653333	0.200	-0.818139
0.656667	0.200	-0.820275
0.660000	0.200	-0.822577
0.663333	0.200	-0.824626
0.666667	0.200	-0.826086
0.670000	0.200	-0.826617
0.673333	0.200	-0.825919
0.676667	0.200	-0.824160
0.680000	0.200	-0.822199
0.683333	0.200	-0.821040
0.686667	0.200	-0.821229
0.690000	0.200	-0.822908
0.693333	0.200	-0.825844
0.696667	0.200	-0.829244
0.700000	0.200	-0.832100
0.703333	0.200	-0.833937
0.706667	0.200	-0.835165
0.710000	0.200	-0.836489
0.713333	0.200	-0.838065
0.716667	0.200	-0.839636
0.720000	0.200	-0.841108
0.723333	0.200	-0.842381
0.726667	0.200	-0.842985
0.730000	0.200	-0.842611
0.733333	0.200	-0.841769
0.736667	0.200	-0.841192
0.740000	0.200	-0.840899
0.743333	0.200	-0.840558
0.746667	0.200	-0.840331
0.750000	0.200	-0.840765
0.753333	0.200	-0.842232
0.756667	0.200	-0.844713
0.760000	0.200	-0.847814
0.763333	0.200	-0.850772
0.766667	0.200	-0.853058
0.770000	0.200	-0.855038
0.773333	0.200	-0.857308
0.776667	0.200	-0.859799
0.780000	0.200	-0.862034
0.783333	0.200	-0.863721
0.786667	0.200	-0.864855
0.790000	0.200	-0.865643
0.793333	0.200	-0.866578
0.796667	0.200	-0.868330
0.800000	0.200	-0.871230
0.803333	0.200	-0.874776
