File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/874.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	2,5 ug/ml ISO
Injection Number	85
Position	RC4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	6:43:34 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.395324
Signal Max.	32.990598
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002412
0.006667	0.200	-0.016817
0.010000	0.200	-0.054569
0.013333	0.200	-0.111596
0.016667	0.200	-0.165108
0.020000	0.200	-0.192401
0.023333	0.200	-0.186751
0.026667	0.200	-0.156737
0.030000	0.200	-0.117665
0.033333	0.200	-0.083176
0.036667	0.200	-0.060130
0.040000	0.200	-0.048967
0.043333	0.200	-0.047309
0.046667	0.200	-0.052320
0.050000	0.200	-0.061364
0.053333	0.200	-0.072529
0.056667	0.200	-0.084923
0.060000	0.200	-0.098112
0.063333	0.200	-0.111470
0.066667	0.200	-0.124425
0.070000	0.200	-0.136842
0.073333	0.200	-0.148778
0.076667	0.200	-0.160216
0.080000	0.200	-0.171093
0.083333	0.200	-0.181439
0.086667	0.200	-0.191381
0.090000	0.200	-0.201025
0.093333	0.200	-0.210269
0.096667	0.200	-0.218779
0.100000	0.200	-0.226444
0.103333	0.200	-0.233759
0.106667	0.200	-0.241497
0.110000	0.200	-0.250147
0.113333	0.200	-0.259601
0.116667	0.200	-0.269191
0.120000	0.200	-0.278382
0.123333	0.200	-0.287506
0.126667	0.200	-0.297310
0.130000	0.200	-0.307746
0.133333	0.200	-0.317807
0.136667	0.200	-0.326654
0.140000	0.200	-0.334363
0.143333	0.200	-0.341514
0.146667	0.200	-0.348403
0.150000	0.200	-0.354948
0.153333	0.200	-0.361177
0.156667	0.200	-0.367398
0.160000	0.200	-0.373962
0.163333	0.200	-0.380902
0.166667	0.200	-0.387810
0.170000	0.200	-0.394564
0.173333	0.200	-0.401843
0.176667	0.200	-0.410254
0.180000	0.200	-0.419505
0.183333	0.200	-0.428715
0.186667	0.200	-0.436873
0.190000	0.200	-0.443040
0.193333	0.200	-0.446803
0.196667	0.200	-0.448742
0.200000	0.200	-0.450225
0.203333	0.200	-0.452590
0.206667	0.200	-0.456424
0.210000	0.200	-0.461473
0.213333	0.200	-0.467255
0.216667	0.200	-0.473617
0.220000	0.200	-0.480564
0.223333	0.200	-0.487829
0.226667	0.200	-0.494800
0.230000	0.200	-0.500760
0.233333	0.200	-0.505483
0.236667	0.200	-0.509700
0.240000	0.200	-0.514527
0.243333	0.200	-0.520356
0.246667	0.200	-0.526560
0.250000	0.200	-0.532206
0.253333	0.200	-0.536836
0.256667	0.200	-0.540558
0.260000	0.200	-0.543690
0.263333	0.200	-0.546511
0.266667	0.200	-0.549320
0.270000	0.200	-0.552652
0.273333	0.200	-0.557070
0.276667	0.200	-0.562509
0.280000	0.200	-0.568144
0.283333	0.200	-0.572981
0.286667	0.200	-0.576718
0.290000	0.200	-0.580020
0.293333	0.200	-0.583592
0.296667	0.200	-0.587338
0.300000	0.200	-0.590871
0.303333	0.200	-0.594109
0.306667	0.200	-0.597062
0.310000	0.200	-0.599820
0.313333	0.200	-0.602639
0.316667	0.200	-0.605707
0.320000	0.200	-0.609225
0.323333	0.200	-0.613319
0.326667	0.200	-0.617698
0.330000	0.200	-0.621953
0.333333	0.200	-0.626046
0.336667	0.200	-0.630276
0.340000	0.200	-0.634966
0.343333	0.200	-0.640038
0.346667	0.200	-0.644816
0.350000	0.200	-0.648342
0.353333	0.200	-0.649949
0.356667	0.200	-0.649771
0.360000	0.200	-0.648756
0.363333	0.200	-0.648276
0.366667	0.200	-0.649728
0.370000	0.200	-0.653701
0.373333	0.200	-0.659359
0.376667	0.200	-0.665159
0.380000	0.200	-0.670077
0.383333	0.200	-0.673975
0.386667	0.200	-0.677197
0.390000	0.200	-0.680121
0.393333	0.200	-0.682955
0.396667	0.200	-0.685721
0.400000	0.200	-0.688380
0.403333	0.200	-0.690906
0.406667	0.200	-0.694735
0.410000	0.200	-0.706400
0.413333	0.200	-0.736404
0.416667	0.200	-0.789975
0.420000	0.200	-0.860989
0.423333	0.200	-0.936152
0.426667	0.200	-1.002671
0.430000	0.200	-1.053095
0.433333	0.200	-1.086308
0.436667	0.200	-1.105474
0.440000	0.200	-1.115170
0.443333	0.200	-1.119659
