File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/725.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	5000 ug/ml HIGH
Injection Number	96
Position	RB6
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:51:56 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.994987
Signal Max.	1,453.496068
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002056
0.006667	0.200	-0.014745
0.010000	0.200	-0.049179
0.013333	0.200	-0.103115
0.016667	0.200	-0.155708
0.020000	0.200	-0.183985
0.023333	0.200	-0.179493
0.026667	0.200	-0.149599
0.030000	0.200	-0.109583
0.033333	0.200	-0.073683
0.036667	0.200	-0.049583
0.040000	0.200	-0.038553
0.043333	0.200	-0.038537
0.046667	0.200	-0.046669
0.050000	0.200	-0.060491
0.053333	0.200	-0.077847
0.056667	0.200	-0.096442
0.060000	0.200	-0.114446
0.063333	0.200	-0.131112
0.066667	0.200	-0.146084
0.070000	0.200	-0.158925
0.073333	0.200	-0.169631
0.076667	0.200	-0.178586
0.080000	0.200	-0.186301
0.083333	0.200	-0.193829
0.086667	0.200	-0.202529
0.090000	0.200	-0.212939
0.093333	0.200	-0.224271
0.096667	0.200	-0.235148
0.100000	0.200	-0.244682
0.103333	0.200	-0.252993
0.106667	0.200	-0.260752
0.110000	0.200	-0.268139
0.113333	0.200	-0.274873
0.116667	0.200	-0.281207
