File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/846.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	500 ug/ml HIGH ISO
Injection Number	92
Position	RC11
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:05:11 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.923986
Signal Max.	185.985748
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002214
0.006667	0.200	-0.015737
0.010000	0.200	-0.052131
0.013333	0.200	-0.108955
0.016667	0.200	-0.164764
0.020000	0.200	-0.196024
0.023333	0.200	-0.193925
0.026667	0.200	-0.165744
0.030000	0.200	-0.126591
0.033333	0.200	-0.090318
0.036667	0.200	-0.064459
0.040000	0.200	-0.050666
0.043333	0.200	-0.047640
0.046667	0.200	-0.053007
0.050000	0.200	-0.064024
0.053333	0.200	-0.078175
0.056667	0.200	-0.093653
0.060000	0.200	-0.109513
0.063333	0.200	-0.125194
0.066667	0.200	-0.139653
0.070000	0.200	-0.151790
0.073333	0.200	-0.161878
0.076667	0.200	-0.171360
0.080000	0.200	-0.181230
0.083333	0.200	-0.191403
0.086667	0.200	-0.201422
0.090000	0.200	-0.211210
0.093333	0.200	-0.220954
0.096667	0.200	-0.230547
0.100000	0.200	-0.239704
0.103333	0.200	-0.248550
0.106667	0.200	-0.257548
0.110000	0.200	-0.266972
0.113333	0.200	-0.276735
0.116667	0.200	-0.286567
0.120000	0.200	-0.296339
0.123333	0.200	-0.306054
0.126667	0.200	-0.315419
0.130000	0.200	-0.324091
0.133333	0.200	-0.332295
0.136667	0.200	-0.340330
0.140000	0.200	-0.347770
0.143333	0.200	-0.354112
0.146667	0.200	-0.359647
0.150000	0.200	-0.364905
0.153333	0.200	-0.370125
0.156667	0.200	-0.375807
0.160000	0.200	-0.382864
0.163333	0.200	-0.391624
0.166667	0.200	-0.400995
0.170000	0.200	-0.409181
0.173333	0.200	-0.415292
0.176667	0.200	-0.419933
0.180000	0.200	-0.424317
0.183333	0.200	-0.429203
0.186667	0.200	-0.434670
0.190000	0.200	-0.440456
0.193333	0.200	-0.446535
0.196667	0.200	-0.453298
0.200000	0.200	-0.460712
0.203333	0.200	-0.467814
0.206667	0.200	-0.473729
0.210000	0.200	-0.478723
0.213333	0.200	-0.483648
0.216667	0.200	-0.488931
0.220000	0.200	-0.494589
0.223333	0.200	-0.500440
0.226667	0.200	-0.505976
0.230000	0.200	-0.510540
0.233333	0.200	-0.513807
0.236667	0.200	-0.516318
0.240000	0.200	-0.519376
0.243333	0.200	-0.523819
0.246667	0.200	-0.529208
0.250000	0.200	-0.534574
0.253333	0.200	-0.539646
0.256667	0.200	-0.545126
0.260000	0.200	-0.551721
0.263333	0.200	-0.558953
0.266667	0.200	-0.565410
0.270000	0.200	-0.570233
0.273333	0.200	-0.573822
0.276667	0.200	-0.577187
0.280000	0.200	-0.581089
0.283333	0.200	-0.585690
0.286667	0.200	-0.590713
0.290000	0.200	-0.595700
0.293333	0.200	-0.600223
0.296667	0.200	-0.604144
0.300000	0.200	-0.607540
0.303333	0.200	-0.610301
0.306667	0.200	-0.612141
0.310000	0.200	-0.613310
0.313333	0.200	-0.614923
0.316667	0.200	-0.618116
0.320000	0.200	-0.623176
0.323333	0.200	-0.629763
0.326667	0.200	-0.637265
0.330000	0.200	-0.644514
0.333333	0.200	-0.649965
0.336667	0.200	-0.652723
0.340000	0.200	-0.653213
0.343333	0.200	-0.652888
0.346667	0.200	-0.653222
0.350000	0.200	-0.654874
0.353333	0.200	-0.657624
0.356667	0.200	-0.660897
0.360000	0.200	-0.664401
0.363333	0.200	-0.668169
0.366667	0.200	-0.672141
0.370000	0.200	-0.676035
0.373333	0.200	-0.679480
0.376667	0.200	-0.682139
0.380000	0.200	-0.683975
0.383333	0.200	-0.685494
0.386667	0.200	-0.687243
0.390000	0.200	-0.689212
0.393333	0.200	-0.691204
0.396667	0.200	-0.693209
0.400000	0.200	-0.695270
0.403333	0.200	-0.697534
0.406667	0.200	-0.700177
0.410000	0.200	-0.703046
0.413333	0.200	-0.705828
0.416667	0.200	-0.708435
0.420000	0.200	-0.710839
0.423333	0.200	-0.712957
0.426667	0.200	-0.714853
0.430000	0.200	-0.716809
0.433333	0.200	-0.719001
0.436667	0.200	-0.721202
0.440000	0.200	-0.723336
0.443333	0.200	-0.725988
0.446667	0.200	-0.729348
0.450000	0.200	-0.732503
0.453333	0.200	-0.734715
0.456667	0.200	-0.736343
0.460000	0.200	-0.738028
0.463333	0.200	-0.739990
0.466667	0.200	-0.742246
0.470000	0.200	-0.744797
0.473333	0.200	-0.747596
0.476667	0.200	-0.750498
0.480000	0.200	-0.753172
0.483333	0.200	-0.755296
0.486667	0.200	-0.756777
0.490000	0.200	-0.757863
0.493333	0.200	-0.759159
0.496667	0.200	-0.761154
0.500000	0.200	-0.763497
0.503333	0.200	-0.765240
0.506667	0.200	-0.765911
0.510000	0.200	-0.765780
0.513333	0.200	-0.765373
0.516667	0.200	-0.765274
0.520000	0.200	-0.765974
0.523333	0.200	-0.767658
0.526667	0.200	-0.770282
0.530000	0.200	-0.773694
0.533333	0.200	-0.777311
0.536667	0.200	-0.780106
0.540000	0.200	-0.781682
0.543333	0.200	-0.782806
0.546667	0.200	-0.784376
0.550000	0.200	-0.786480
0.553333	0.200	-0.788750
0.556667	0.200	-0.791017
0.560000	0.200	-0.793266
0.563333	0.200	-0.795423
0.566667	0.200	-0.797328
0.570000	0.200	-0.798755
0.573333	0.200	-0.799543
0.576667	0.200	-0.799764
0.580000	0.200	-0.799597
0.583333	0.200	-0.799166
