File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/151.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	50 ug/ml ISO
Injection Number	89
Position	RC8
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:30:13 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.190596
Signal Max.	37.073029
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002071
0.006667	0.200	-0.015344
0.010000	0.200	-0.052561
0.013333	0.200	-0.112567
0.016667	0.200	-0.173105
0.020000	0.200	-0.208604
0.023333	0.200	-0.208929
0.026667	0.200	-0.180664
0.030000	0.200	-0.138667
0.033333	0.200	-0.097346
0.036667	0.200	-0.065257
0.040000	0.200	-0.044785
0.043333	0.200	-0.035083
0.046667	0.200	-0.034521
0.050000	0.200	-0.041282
0.053333	0.200	-0.053319
0.056667	0.200	-0.068559
0.060000	0.200	-0.085088
0.063333	0.200	-0.101415
0.066667	0.200	-0.116815
0.070000	0.200	-0.131155
0.073333	0.200	-0.144391
0.076667	0.200	-0.156468
0.080000	0.200	-0.167685
0.083333	0.200	-0.178637
0.086667	0.200	-0.189648
0.090000	0.200	-0.200632
0.093333	0.200	-0.211371
0.096667	0.200	-0.221647
0.100000	0.200	-0.231139
0.103333	0.200	-0.239230
0.106667	0.200	-0.245526
0.110000	0.200	-0.250884
0.113333	0.200	-0.257079
0.116667	0.200	-0.265144
0.120000	0.200	-0.274850
0.123333	0.200	-0.285461
0.126667	0.200	-0.295908
0.130000	0.200	-0.305017
0.133333	0.200	-0.312473
0.136667	0.200	-0.318963
0.140000	0.200	-0.325229
0.143333	0.200	-0.331615
0.146667	0.200	-0.338648
0.150000	0.200	-0.347174
0.153333	0.200	-0.357343
0.156667	0.200	-0.368379
0.160000	0.200	-0.379651
0.163333	0.200	-0.390909
0.166667	0.200	-0.401604
0.170000	0.200	-0.411237
0.173333	0.200	-0.420098
0.176667	0.200	-0.428718
0.180000	0.200	-0.437112
0.183333	0.200	-0.444996
0.186667	0.200	-0.452236
0.190000	0.200	-0.459100
0.193333	0.200	-0.466345
0.196667	0.200	-0.474646
0.200000	0.200	-0.483932
0.203333	0.200	-0.493741
0.206667	0.200	-0.503747
0.210000	0.200	-0.513622
0.213333	0.200	-0.522898
0.216667	0.200	-0.530927
0.220000	0.200	-0.537021
0.223333	0.200	-0.541249
0.226667	0.200	-0.544962
0.230000	0.200	-0.549784
0.233333	0.200	-0.556332
0.236667	0.200	-0.564269
0.240000	0.200	-0.572835
0.243333	0.200	-0.581147
0.246667	0.200	-0.588767
0.250000	0.200	-0.596089
0.253333	0.200	-0.603673
0.256667	0.200	-0.611507
0.260000	0.200	-0.619247
0.263333	0.200	-0.626555
0.266667	0.200	-0.632933
0.270000	0.200	-0.637938
0.273333	0.200	-0.642071
0.276667	0.200	-0.646574
0.280000	0.200	-0.651921
0.283333	0.200	-0.657588
0.286667	0.200	-0.663250
0.290000	0.200	-0.668942
0.293333	0.200	-0.674566
0.296667	0.200	-0.680082
0.300000	0.200	-0.685513
0.303333	0.200	-0.690697
0.306667	0.200	-0.695644
0.310000	0.200	-0.700755
0.313333	0.200	-0.706294
0.316667	0.200	-0.711810
0.320000	0.200	-0.716425
0.323333	0.200	-0.719935
0.326667	0.200	-0.723288
0.330000	0.200	-0.727577
0.333333	0.200	-0.732972
0.336667	0.200	-0.738887
0.340000	0.200	-0.744690
0.343333	0.200	-0.749936
0.346667	0.200	-0.754387
0.350000	0.200	-0.758102
0.353333	0.200	-0.761329
0.356667	0.200	-0.764157
0.360000	0.200	-0.766473
0.363333	0.200	-0.768452
0.366667	0.200	-0.770722
0.370000	0.200	-0.773848
0.373333	0.200	-0.777915
0.376667	0.200	-0.782517
0.380000	0.200	-0.787044
0.383333	0.200	-0.791247
0.386667	0.200	-0.795456
0.390000	0.200	-0.800057
0.393333	0.200	-0.805158
0.396667	0.200	-0.810725
0.400000	0.200	-0.816308
0.403333	0.200	-0.821073
0.406667	0.200	-0.824732
0.410000	0.200	-0.827760
0.413333	0.200	-0.830462
0.416667	0.200	-0.832605
0.420000	0.200	-0.834205
0.423333	0.200	-0.836027
0.426667	0.200	-0.838914
0.430000	0.200	-0.842986
0.433333	0.200	-0.847548
0.436667	0.200	-0.851642
0.440000	0.200	-0.854833
0.443333	0.200	-0.857388
0.446667	0.200	-0.859808
0.450000	0.200	-0.862623
0.453333	0.200	-0.866224
0.456667	0.200	-0.870525
0.460000	0.200	-0.875136
0.463333	0.200	-0.879779
0.466667	0.200	-0.884220
0.470000	0.200	-0.888042
0.473333	0.200	-0.890758
0.476667	0.200	-0.892110
0.480000	0.200	-0.892188
0.483333	0.200	-0.891434
0.486667	0.200	-0.890750
0.490000	0.200	-0.891025
0.493333	0.200	-0.892240
0.496667	0.200	-0.893687
0.500000	0.200	-0.894974
0.503333	0.200	-0.896339
0.506667	0.200	-0.898346
0.510000	0.200	-0.901461
0.513333	0.200	-0.905709
0.516667	0.200	-0.910620
