sample_name,sample_group_name,sequence_segment_name,sample_type,original_filename,batch_name,rack_number,plate_number,pos_number,inj_number,dilution_factor,inj_volume,inj_volume_units,operator_name,acq_method_name,proc_method_name,acquisition_date_and_time,scan_polarity,scan_mass_low,scan_mass_high
0p5ug,group1,sequence1,Standard,0p5ug,BatchName,,,,1,,3,uL,,MethodName,,,,,
1ug,group1,sequence1,Standard,1ug,BatchName,,,,2,,3,uL,,MethodName,,,,,
2p5ug,group1,sequence1,Standard,2p5ug,BatchName,,,,3,,3,uL,,MethodName,,,,,
5ug,group1,sequence1,Standard,5ug,BatchName,,,,4,,3,uL,,MethodName,,,,,
10ug,group1,sequence1,Standard,10ug,BatchName,,,,5,,3,uL,,MethodName,,,,,
25ug,group1,sequence1,Standard,25ug,BatchName,,,,6,,3,uL,,MethodName,,,,,
50ug,group1,sequence1,Standard,50ug,BatchName,,,,7,,3,uL,,MethodName,,,,,
100ug,group1,sequence1,Standard,100ug,BatchName,,,,8,,3,uL,,MethodName,,,,,
250ug,group1,sequence1,Standard,250ug,BatchName,,,,9,,3,uL,,MethodName,,,,,
500ug,group1,sequence1,Standard,500ug,BatchName,,,,10,,3,uL,,MethodName,,,,,
750ug,group1,sequence1,Standard,750ug,BatchName,,,,11,,3,uL,,MethodName,,,,,
1000ug,group1,sequence1,Standard,1000ug,BatchName,,,,12,,3,uL,,MethodName,,,,,
2500ug,group1,sequence1,Standard,2500ug,BatchName,,,,13,,3,uL,,MethodName,,,,,
5000ug,group1,sequence1,Standard,5000ug,BatchName,,,,14,,3,uL,,MethodName,,,,,
