sample_name,component_name,IS_component_name,actual_concentration,IS_actual_concentration,concentration_units,dilution_factor
0p5ug,Serotonin,,0.5,1,ug/mL,1
0p5ug,5-HTP,,0.5,1,ug/mL,1
0p5ug,Tryptophan,,0.5,1,ug/mL,1
0p5ug,Tryptamine,,0.5,1,ug/mL,1
0p5ug,Acetylserotonin,,0.5,1,ug/mL,1
0p5ug,Riboflavin,,0.5,1,ug/mL,1
0p5ug,5-hydroxyindole,,0.5,1,ug/mL,1
0p5ug,Antranilicacid,,0.5,1,ug/mL,1
0p5ug,Melatonin,,0.5,1,ug/mL,1
0p5ug,Acetyltryptamine,,0.5,1,ug/mL,1
0p5ug,Indole,,0.5,1,ug/mL,1
1ug,Serotonin,,1,1,ug/mL,1
1ug,5-HTP,,1,1,ug/mL,1
1ug,Tryptophan,,1,1,ug/mL,1
1ug,Tryptamine,,1,1,ug/mL,1
1ug,Acetylserotonin,,1,1,ug/mL,1
1ug,Riboflavin,,1,1,ug/mL,1
1ug,5-hydroxyindole,,1,1,ug/mL,1
1ug,Antranilicacid,,1,1,ug/mL,1
1ug,Melatonin,,1,1,ug/mL,1
1ug,Acetyltryptamine,,1,1,ug/mL,1
1ug,Indole,,1,1,ug/mL,1
2p5ug,Serotonin,,2.5,1,ug/mL,1
2p5ug,5-HTP,,2.5,1,ug/mL,1
2p5ug,Tryptophan,,2.5,1,ug/mL,1
2p5ug,Tryptamine,,2.5,1,ug/mL,1
2p5ug,Acetylserotonin,,2.5,1,ug/mL,1
2p5ug,Riboflavin,,2.5,1,ug/mL,1
2p5ug,5-hydroxyindole,,2.5,1,ug/mL,1
2p5ug,Antranilicacid,,2.5,1,ug/mL,1
2p5ug,Melatonin,,2.5,1,ug/mL,1
2p5ug,Acetyltryptamine,,2.5,1,ug/mL,1
2p5ug,Indole,,2.5,1,ug/mL,1
5ug,Serotonin,,5,1,ug/mL,1
5ug,5-HTP,,5,1,ug/mL,1
5ug,Tryptophan,,5,1,ug/mL,1
5ug,Tryptamine,,5,1,ug/mL,1
5ug,Acetylserotonin,,5,1,ug/mL,1
5ug,Riboflavin,,5,1,ug/mL,1
5ug,5-hydroxyindole,,5,1,ug/mL,1
5ug,Antranilicacid,,5,1,ug/mL,1
5ug,Melatonin,,5,1,ug/mL,1
5ug,Acetyltryptamine,,5,1,ug/mL,1
5ug,Indole,,5,1,ug/mL,1
10ug,Serotonin,,10,1,ug/mL,1
10ug,5-HTP,,10,1,ug/mL,1
10ug,Tryptophan,,10,1,ug/mL,1
10ug,Tryptamine,,10,1,ug/mL,1
10ug,Acetylserotonin,,10,1,ug/mL,1
