File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/952.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA4
Injection Number	25
Position	GA4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:03:21 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.882378
Signal Max.	246.138505
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.000000	0.000	0.000000
0.003333	0.200	-0.002337
0.006667	0.200	-0.016162
0.010000	0.200	-0.052123
0.013333	0.200	-0.106236
0.016667	0.200	-0.157031
0.020000	0.200	-0.182944
0.023333	0.200	-0.177309
0.026667	0.200	-0.148337
0.030000	0.200	-0.110781
0.033333	0.200	-0.077352
0.036667	0.200	-0.054256
0.040000	0.200	-0.042377
0.043333	0.200	-0.040497
0.046667	0.200	-0.046229
0.050000	0.200	-0.056217
0.053333	0.200	-0.067762
0.056667	0.200	-0.079934
0.060000	0.200	-0.092876
0.063333	0.200	-0.106638
0.066667	0.200	-0.120740
0.070000	0.200	-0.134483
0.073333	0.200	-0.147333
0.076667	0.200	-0.159095
0.080000	0.200	-0.169994
0.083333	0.200	-0.180437
0.086667	0.200	-0.190651
0.090000	0.200	-0.200607
0.093333	0.200	-0.210155
0.096667	0.200	-0.219242
0.100000	0.200	-0.227909
0.103333	0.200	-0.236055
0.106667	0.200	-0.243714
0.110000	0.200	-0.251513
0.113333	0.200	-0.260223
0.116667	0.200	-0.269939
0.120000	0.200	-0.280107
0.123333	0.200	-0.290239
0.126667	0.200	-0.300124
0.130000	0.200	-0.309396
0.133333	0.200	-0.317592
0.136667	0.200	-0.324664
0.140000	0.200	-0.331078
0.143333	0.200	-0.337506
0.146667	0.200	-0.344341
0.150000	0.200	-0.351489
0.153333	0.200	-0.358855
0.156667	0.200	-0.366691
0.160000	0.200	-0.375039
0.163333	0.200	-0.383405
0.166667	0.200	-0.391410
0.170000	0.200	-0.399182
0.173333	0.200	-0.406906
0.176667	0.200	-0.414369
0.180000	0.200	-0.420966
0.183333	0.200	-0.426186
0.186667	0.200	-0.430313
0.190000	0.200	-0.434328
0.193333	0.200	-0.438814
