sample_name,sample_type,sample_group_name,sequence_segment_name,filename
150516_CM1_Level1,Standard,CM,segment1,150516_CM1_Level1
150516_CM1_Level10,Standard,CM,segment1,150516_CM1_Level10
150516_CM1_Level11,Standard,CM,segment1,150516_CM1_Level11
150516_CM1_Level12,Standard,CM,segment1,150516_CM1_Level12
150516_CM1_Level13,Standard,CM,segment1,150516_CM1_Level13
150516_CM1_Level14,Standard,CM,segment1,150516_CM1_Level14
150516_CM1_Level15,Standard,CM,segment1,150516_CM1_Level15
150516_CM1_Level2,Standard,CM,segment1,150516_CM1_Level2
150516_CM1_Level3,Standard,CM,segment1,150516_CM1_Level3
150516_CM1_Level4,Standard,CM,segment1,150516_CM1_Level4
150516_CM1_Level5,Standard,CM,segment1,150516_CM1_Level5
150516_CM1_Level6,Standard,CM,segment1,150516_CM1_Level6
150516_CM1_Level7,Standard,CM,segment1,150516_CM1_Level7
150516_CM1_Level8,Standard,CM,segment1,150516_CM1_Level8
150516_CM1_Level9,Standard,CM,segment1,150516_CM1_Level9
150516_CM2_Level1,Standard,CM,segment1,150516_CM2_Level1
150516_CM2_Level10,Standard,CM,segment1,150516_CM2_Level10
150516_CM2_Level11,Standard,CM,segment1,150516_CM2_Level11
150516_CM2_Level12,Standard,CM,segment1,150516_CM2_Level12
150516_CM2_Level13,Standard,CM,segment1,150516_CM2_Level13
150516_CM2_Level14,Standard,CM,segment1,150516_CM2_Level14
150516_CM2_Level15,Standard,CM,segment1,150516_CM2_Level15
150516_CM2_Level2,Standard,CM,segment1,150516_CM2_Level2
150516_CM2_Level3,Standard,CM,segment1,150516_CM2_Level3
150516_CM2_Level4,Standard,CM,segment1,150516_CM2_Level4
150516_CM2_Level5,Standard,CM,segment1,150516_CM2_Level5
150516_CM2_Level6,Standard,CM,segment1,150516_CM2_Level6
150516_CM2_Level7,Standard,CM,segment1,150516_CM2_Level7
150516_CM2_Level8,Standard,CM,segment1,150516_CM2_Level8
150516_CM2_Level9,Standard,CM,segment1,150516_CM2_Level9
150516_CM3_Level1,Standard,CM,segment1,150516_CM3_Level1
150516_CM3_Level10,Standard,CM,segment1,150516_CM3_Level10
150516_CM3_Level11,Standard,CM,segment1,150516_CM3_Level11
150516_CM3_Level12,Standard,CM,segment1,150516_CM3_Level12
150516_CM3_Level13,Standard,CM,segment1,150516_CM3_Level13
150516_CM3_Level14,Standard,CM,segment1,150516_CM3_Level14
150516_CM3_Level15,Standard,CM,segment1,150516_CM3_Level15
150516_CM3_Level2,Standard,CM,segment1,150516_CM3_Level2
150516_CM3_Level3,Standard,CM,segment1,150516_CM3_Level3
150516_CM3_Level4,Standard,CM,segment1,150516_CM3_Level4
150516_CM3_Level5,Standard,CM,segment1,150516_CM3_Level5
150516_CM3_Level6,Standard,CM,segment1,150516_CM3_Level6
150516_CM3_Level7,Standard,CM,segment1,150516_CM3_Level7
150516_CM3_Level8,Standard,CM,segment1,150516_CM3_Level8
150516_CM3_Level9,Standard,CM,segment1,150516_CM3_Level9
