component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
arg-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
orn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
asn-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ser-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
citr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gln-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
Hexose_Pool_fru_glc-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
Lcystin,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
thr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ala-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
his-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
cytd,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ura,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
AICAr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
met-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
uri,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gua,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
hxan,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
tyr-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
xan,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ins,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gsn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
thym,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ade,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gam6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
adn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
phe-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
asp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
glu-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
skm,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
glx,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
glyclt,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
trp-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
5oxpro,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
lac-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
urate,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gthrd,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
nad,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
pyr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
g3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
g6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
r5p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
f6p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
s7p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
glyc3p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
g1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ru5p-D,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
cmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
2obut,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
f1p,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dcmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dhap,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dump,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dimp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
35cgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dgmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dtmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ribflv,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
amp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gmp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
imp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
camp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gthox,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
btn,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
mmal,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
succ,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
mal-L,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
glutacon,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
fum,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
udpg,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
damp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
oxa,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
actp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
akg,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
oaa,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dtdpglu,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
nadh,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
adpglc,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
chor,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
fol,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dgdp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gdp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
6pgc,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
Pool_2pg_3pg,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dcdp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
adp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
2mcit,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
udp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
acon-C,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
nadp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
pep,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dadp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
