component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
thr-L,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
met-L,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
asp-L,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
glu-L,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
skm,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
glyclt,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
pyr,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
g6p,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
f6p,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
s7p,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
glyc3p,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
g1p,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
r5p,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
ru5p-D,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
ump,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
dhap,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
amp,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
succ,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
mal-L,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
akg,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
6pgc,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
Pool_2pg_3pg,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
acon-C,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
pep,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
icit,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
fad,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
fdp,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
23dpg,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
atp,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
prpp,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
accoa,1,100,0,100,1,100,2,100,0,100,2,100,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+12
