component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u
thr-L.thr-L_m0-0,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m1-0,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m1-1,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m2-0,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m2-1,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m2-2,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m3-1,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m3-2,100,1.00E+12,0.5,1.00E+12
thr-L.thr-L_m4-2,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m0-0,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m1-0,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m1-1,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m2-0,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m2-1,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m3-0,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m3-1,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m4-0,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m4-1,100,1.00E+12,0.5,1.00E+12
met-L.met-L_m5-1,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m0-0,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m1-0,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m1-1,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m2-1,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m2-2,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m3-2,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m3-3,100,1.00E+12,0.5,1.00E+12
asp-L.asp-L_m4-3,100,1.00E+12,0.5,1.00E+12
glu-L.glu-L_m0-0,100,1.00E+12,0.5,1.00E+12
glu-L.glu-L_m1-1,100,1.00E+12,0.5,1.00E+12
glu-L.glu-L_m2-2,100,1.00E+12,0.5,1.00E+12
glu-L.glu-L_m3-3,100,1.00E+12,0.5,1.00E+12
glu-L.glu-L_m4-4,100,1.00E+12,0.5,1.00E+12
glu-L.glu-L_m5-5,100,1.00E+12,0.5,1.00E+12
skm.skm_m0-0,100,1.00E+12,0.5,1.00E+12
skm.skm_m1-0,100,1.00E+12,0.5,1.00E+12
skm.skm_m1-1,100,1.00E+12,0.5,1.00E+12
skm.skm_m2-1,100,1.00E+12,0.5,1.00E+12
skm.skm_m2-2,100,1.00E+12,0.5,1.00E+12
skm.skm_m3-2,100,1.00E+12,0.5,1.00E+12
skm.skm_m3-3,100,1.00E+12,0.5,1.00E+12
