IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,n_points,transformation_model,transformation_model_param_slope,transformation_model_param_intercept,transformation_model_param_symmetric_regression,transformation_model_param_x_weight,transformation_model_param_y_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max
,thr-L.thr-L_m0-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m1-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m1-1,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m2-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m2-1,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m2-2,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m3-1,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m3-2,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,thr-L.thr-L_m4-2,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m0-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m1-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m1-1,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m2-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m2-1,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m3-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m3-1,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
,met-L.met-L_m4-0,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
