ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
thr-L,,thr-L,thr-L.thr-L_m0-0,56.4,,118.0504181,Unit,74.02420338,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m1-0,56.4,,119.053773,Unit,74.02420338,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m1-1,56.4,,119.053773,Unit,75.02755822,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m2-0,56.4,,120.0571278,Unit,74.02420338,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m2-1,56.4,,120.0571278,Unit,75.02755822,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m2-2,56.4,,120.0571278,Unit,76.03091305,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m3-1,56.4,,121.0604826,Unit,75.02755822,Unit,,,,,1,0,,Heavy,1,1,,2,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m3-2,56.4,,121.0604826,Unit,76.03091305,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_m4-2,56.4,,122.0638375,Unit,76.03091305,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m0-0,73.2,,148.0432243,Unit,46.99554579,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m1-0,73.2,,149.0465791,Unit,46.99554579,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m1-1,73.2,,149.0465791,Unit,47.99890062,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m2-0,73.2,,150.0499339,Unit,46.99554579,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m2-1,73.2,,150.0499339,Unit,47.99890062,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m3-0,73.2,,151.0532888,Unit,46.99554579,Unit,,,,,1,0,,Heavy,1,1,,2,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m3-1,73.2,,151.0532888,Unit,47.99890062,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m4-0,73.2,,152.0566436,Unit,46.99554579,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m4-1,73.2,,152.0566436,Unit,47.99890062,Unit,,,,,1,0,,Heavy,1,1,,2,TRUE,FALSE,TRUE
met-L,,met-L,met-L.met-L_m5-1,73.2,,153.0599984,Unit,47.99890062,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m0-0,138,,132.0296827,Unit,88.03985344,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m1-0,138,,133.0330375,Unit,88.03985344,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m1-1,138,,133.0330375,Unit,89.04320828,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m2-1,138,,134.0363924,Unit,89.04320828,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m2-2,138,,134.0363924,Unit,90.04656312,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m3-2,138,,135.0397472,Unit,90.04656312,Unit,,,,,1,0,,Heavy,1,1,,2,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m3-3,138,,135.0397472,Unit,91.04991796,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
asp-L,,asp-L,asp-L.asp-L_m4-3,138,,136.043102,Unit,91.04991796,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
glu-L,,glu-L,glu-L.glu-L_m0-0,138,,146.0453328,Unit,128.0347681,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
